#L=100
        p	Mean size	    P inf	    P span
    0.0001	         1	         0	         0	         1	         1
    0.0002	         1	         0	         0
    0.0003	         1	         0	         0
    0.0004	         1	         0	         0
    0.0005	         1	         0	         0
    0.0006	         1	         0	         0
    0.0007	         1	         0	         0
    0.0008	         1	         0	         0
    0.0009	         1	         0	         0
     0.001	         1	         0	         0
    0.0011	         1	         0	         0
    0.0012	         1	         0	         0
    0.0013	         1	         0	         0
    0.0014	         1	         0	         0
    0.0015	         1	         0	         0
    0.0016	         1	         0	         0
    0.0017	         1	         0	         0
    0.0018	         1	         0	         0
    0.0019	         1	         0	         0
     0.002	         1	         0	         0
    0.0021	         1	         0	         0
    0.0022	         1	         0	         0
    0.0023	         1	         0	         0
    0.0024	         1	         0	         0
    0.0025	         1	         0	         0
    0.0026	         1	         0	         0
    0.0027	         1	         0	         0
    0.0028	         1	         0	         0
    0.0029	         1	         0	         0
     0.003	         1	         0	         0
    0.0031	         1	         0	         0
    0.0032	         1	         0	         0
    0.0033	         1	         0	         0
    0.0034	         1	         0	         0
    0.0035	         1	         0	         0
    0.0036	         1	         0	         0
    0.0037	         1	         0	         0
    0.0038	         1	         0	         0
    0.0039	         1	         0	         0
     0.004	         1	         0	         0
    0.0041	         1	         0	         0
    0.0042	         1	         0	         0
    0.0043	         1	         0	         0
    0.0044	         1	         0	         0
    0.0045	         1	         0	         0
    0.0046	         1	         0	         0
    0.0047	         1	         0	         0
    0.0048	         1	         0	         0
    0.0049	         1	         0	         0
     0.005	         1	         0	         0
    0.0051	         1	         0	         0
    0.0052	         1	         0	         0
    0.0053	         1	         0	         0
    0.0054	         1	         0	         0
    0.0055	         1	         0	         0
    0.0056	         1	         0	         0
    0.0057	         1	         0	         0
    0.0058	         1	         0	         0
    0.0059	         1	         0	         0
     0.006	         1	         0	         0
    0.0061	         1	         0	         0
    0.0062	         1	         0	         0
    0.0063	         1	         0	         0
    0.0064	         1	         0	         0
    0.0065	         1	         0	         0
    0.0066	         1	         0	         0
    0.0067	         1	         0	         0
    0.0068	         1	         0	         0
    0.0069	         1	         0	         0
     0.007	         1	         0	         0
    0.0071	         1	         0	         0
    0.0072	         1	         0	         0
    0.0073	         1	         0	         0
    0.0074	         1	         0	         0
    0.0075	         1	         0	         0
    0.0076	         1	         0	         0
    0.0077	         1	         0	         0
    0.0078	         1	         0	         0
    0.0079	         1	         0	         0
     0.008	         1	         0	         0
    0.0081	         1	         0	         0
    0.0082	         1	         0	         0
    0.0083	         1	         0	         0
    0.0084	         1	         0	         0
    0.0085	         1	         0	         0
    0.0086	         1	         0	         0
    0.0087	         1	         0	         0
    0.0088	         1	         0	         0
