        p	Mean size	    P inf	    P span
0.00390625	         1	         0	         0	         1	         1
 0.0078125	     1.018	         0	         0
 0.0117188	         1	         0	         0
  0.015625	     1.003	         0	         0
 0.0195312	     1.005	         0	         0
 0.0234375	     1.009	         0	         0
 0.0273438	     1.002	         0	         0
   0.03125	     1.003	         0	         0
 0.0351562	     1.003	         0	         0
 0.0390625	     1.005	         0	         0
 0.0429688	     1.007	         0	         0
  0.046875	     1.009	         0	         0
 0.0507812	     1.005	         0	         0
 0.0546875	     1.012	         0	         0
 0.0585938	     1.005	         0	         0
    0.0625	     1.011	         0	         0
 0.0664062	     1.017	         0	         0
 0.0703125	     1.023	         0	         0
 0.0742188	     1.022	         0	         0
  0.078125	     1.027	         0	         0
 0.0820312	     1.026	         0	         0
 0.0859375	     1.041	         0	         0
 0.0898438	     1.033	         0	         0
   0.09375	     1.044	         0	         0
 0.0976562	     1.047	         0	         0
  0.101562	     1.066	         0	         0
  0.105469	     1.064	         0	         0
  0.109375	     1.091	         0	         0
  0.113281	     1.089	         0	         0
  0.117188	     1.115	         0	         0
  0.121094	     1.114	         0	         0
     0.125	     1.151	         0	         0
  0.128906	     1.149	         0	         0
  0.132812	     1.193	         0	         0
  0.136719	     1.197	         0	         0
  0.140625	     1.234	         0	         0
  0.144531	     1.239	         0	         0
  0.148438	     1.302	         0	         0
  0.152344	     1.316	         0	         0
   0.15625	      1.37	         0	         0
  0.160156	     1.391	         0	         0
  0.164062	     1.461	         0	         0
  0.167969	     1.486	         0	         0
  0.171875	     1.541	         0	         0
  0.175781	     1.555	         0	         0
  0.179688	     1.626	         0	         0
  0.183594	     1.661	         0	         0
    0.1875	      1.74	         0	         0
  0.191406	     1.756	         0	         0
  0.195312	      1.82	         0	         0
  0.199219	     1.881	         0	         0
  0.203125	     1.934	         0	         0
  0.207031	     1.974	         0	         0
  0.210938	     2.037	         0	         0
  0.214844	     2.076	         0	         0
   0.21875	     2.128	         0	         0
  0.222656	     2.166	         0	         0
  0.226562	     2.226	         0	         0
  0.230469	     2.282	         0	         0
  0.234375	     2.352	         0	         0
  0.238281	     2.393	         0	         0
  0.242188	     2.452	         0	         0
  0.246094	     2.495	         0	         0
      0.25	      2.56	         0	         0
  0.253906	     2.625	         0	         0
  0.257812	     2.693	         0	         0
  0.261719	     2.746	         0	         0
  0.265625	     2.827	         0	         0
  0.269531	     2.911	         0	         0
  0.273438	     2.992	         0	         0
  0.277344	      3.09	         0	         0
   0.28125	     3.187	         0	         0
  0.285156	     3.268	         0	         0
  0.289062	      3.35	         0	         0
  0.292969	     3.449	         0	         0
